timestamp,open,high,low,close,volume
2026-03-10 00:00:00,84.91,85.93,84.79,85.52,1041499.98
2026-03-10 01:00:00,85.53,85.94,85.05,85.69,530957.62
2026-03-10 02:00:00,85.68,86.86,85.41,86.57,1353164.93
2026-03-10 03:00:00,86.57,86.71,85.45,85.52,965086.59
2026-03-10 04:00:00,85.51,86.62,85.34,86.51,1028789.9
2026-03-10 05:00:00,86.51,86.96,86.3,86.36,850199.8
2026-03-10 06:00:00,86.37,86.66,85.94,86.32,613773.52
2026-03-10 07:00:00,86.31,86.86,86.14,86.66,774621.72
2026-03-10 08:00:00,86.67,87.38,86.52,86.65,1585417.23
2026-03-10 09:00:00,86.65,87.46,86.59,87.17,976921.6
2026-03-10 10:00:00,87.18,87.65,86.75,87.04,709068.7
2026-03-10 11:00:00,87.04,87.15,86.57,86.75,619945.82
2026-03-10 12:00:00,86.75,86.79,86.23,86.64,731312.72
2026-03-10 13:00:00,86.63,87.25,85.7,86.01,1906835.33
2026-03-10 14:00:00,86.02,88.2,84.86,88.07,3055527.51
2026-03-10 15:00:00,88.06,88.58,87.23,88.31,2114313.7
2026-03-10 16:00:00,88.31,88.67,87.61,88.36,1551122.33
2026-03-10 17:00:00,88.35,88.78,87.58,87.9,1223685.28
2026-03-10 18:00:00,87.9,87.97,86.03,86.19,2084958.65
2026-03-10 19:00:00,86.18,86.42,85.59,85.97,1280548.03
2026-03-10 20:00:00,85.96,86.36,85.89,86.2,575158.84
2026-03-10 21:00:00,86.2,86.39,85.2,85.67,952197.34
2026-03-10 22:00:00,85.66,85.81,84.95,85.48,910810.8
2026-03-10 23:00:00,85.47,85.85,85.31,85.83,549275.65
2026-03-11 00:00:00,85.82,86.18,85.53,85.97,770940.4
2026-03-11 01:00:00,85.97,86.22,85.6,86.03,419763.42
2026-03-11 02:00:00,86.03,86.16,85.43,85.87,519181.92
2026-03-11 03:00:00,85.87,86.13,85.48,85.56,503618.55
2026-03-11 04:00:00,85.57,86.79,85.43,86.65,1136040.69
2026-03-11 05:00:00,86.65,86.83,85.54,85.66,1045028.17
2026-03-11 06:00:00,85.66,86.12,85.6,85.97,536071.86
2026-03-11 07:00:00,85.97,86.08,85.07,85.39,658562.47
2026-03-11 08:00:00,85.39,85.57,85.01,85.43,772510.61
2026-03-11 09:00:00,85.43,85.53,84.64,84.83,783106.19
2026-03-11 10:00:00,84.82,85.5,84.79,85.22,658328.95
2026-03-11 11:00:00,85.21,85.28,84.3,84.51,1191666.41
2026-03-11 12:00:00,84.5,85.66,84.3,85.14,1361319.53
2026-03-11 13:00:00,85.14,87.35,85.05,85.91,3341017.3
2026-03-11 14:00:00,85.9,87.12,85.68,86.49,1940322.47
2026-03-11 15:00:00,86.5,86.61,84.49,85.37,2028073.12
2026-03-11 16:00:00,85.37,86.56,85.24,86.39,1193533.68
2026-03-11 17:00:00,86.39,87.81,86.38,87.21,2304114.24
2026-03-11 18:00:00,87.21,88.06,87.1,87.76,1796234.34
